اصابت گلوله به قلب,Shot in the heart
اصابت گلوله به سر,Shot in the head
اصابت گلوله به پشت و سینه,Shot in the back or chest
اصابت گلوله,Shot
اصابت گلوله به پشت یا پا,Shot in the back or leg
اصابت گلوله به شکم,Shot in the stomach
اصابت گلوله به سینه,Shot in the chest
اصابت گلوله به بازو و قلب,Shot in the upper arm and heart
اصابت گلوله به پشت,Shot in the back
اصابت گلوله به پشت و سر,Shot in the back and head
اصابت گلوله به گردن,Shot in the neck
اصابت گلوله به بالا تنه,Shot in the torso
اصابت گلوله به سر و گردن,Shot in the head and neck
اصابت گلوله به گردن و شکم,Shot in the neck and stomach
اصابت گلوله به پا,Shot in the leg
اصابت گلوله به قلب و شکم,Shot in the heart and stomach
اصابت گلوله به سر و پا,Shot in the head and leg
اصابت گلوله به شکم گردن و سینه,Shot in the neck and chest
اصابت گلوله به قلب و پا,Shot in the heart and leg
اصابت گلوله به شکم و پا,Shot in the stomach and leg
اصابت گلوله به سینه و قلب,Shot in the chest and heart
اصابت گلوله به شانه,Shot in the shoulder
خفگی با گاز اشک اور,Suffocated from tear gas
اصابت گلوله به لگن,Shot in the pelvis
اصابت گلوله به پهلو,Shot in the side of abdomen
ضرب و جرح توسط نیروهای امنیتی,Beaten by the security forces
اصابت گلوله به قلب و سینه,Shot in the heart and chest
اصابت گلوله به ران,Shot in the Thigh
اصابت گلوله به سر سینه و شکم,Shot in the head, heart and stomach
